SKU| AAD SKU Lead time| AAD Holiday Shipping Message| AAD Holiday SKU Override Date
135391706|||
135393508|||
135399107|||
182595506|||
182612402|||
182614507|||
211740206|||
211740307|||
211740408|||
211740509|||
211741400|||
211741501|||
211741602|||
211744406|||
211744507|||
211744608|||
211745601|||
211745702|||
211745904|||
211746209|||
211746300|||
211746401|||
211746502|||
211746603|||
211746704|||
211746805|||
211746906|||
220332100|||
220332201|||
220332403|||
220332706|||
220334407|||
220334508|||
220334609|||
220334700|||
220335006|||
220359602|10||
220359703|10||
220359804|10||
220359905|10||
220368702|||
220368904|||
220371203|10||
241823804|||
243293901|||
243295906|||
243297506|||
243565203|||
243569908|||
243572106|||
243574100|||
270573809|||
270654407|||
270696800|||
270787601|||
270798705|||
270798907|||
270800903|||
270801006|||
270801602|||
270801703|||
290684101|||
290687502|||
290687603|||
290693100|||
290693201|||
290693302|||
290693403|||
290693504|||
290693605|||
290735404|||
350564201|||
350564504|||
350764306|||
350776504|||
376695906|||
376696009|||
376700706|||
376715900|||
423293808|10||
423293909|10||
423294002|10||
423294103|10||
423294305|10||
423294406|10||
423294507|10||
423294608|10||
423294709|10||
451705507|||
451705608|||
451705709|||
451705800|||
451820207|||
451820409|||
451836009|||
451836201|||
451836403|||
451836605|||
451836706|||
452185008|||
452424207|||
453375002|||
453375103|||
453375204|||
453375305|||
453375406|||
453375507|||
453375608|||
453448401|||
453449605|||
453451801|||
453453502|||
453455406|||
453458008|||
453459000|||
453460002|||
453461004|||
453462006|||
548780737|||
741363701|||
884525609|||
910311707|||
910312002|||
910398003|||
